,flux
2014/8/23,129.42943
2014/8/24,135.01134
2014/8/25,142.57497
2014/8/26,144.16556
2014/8/27,132.12164
2014/8/28,125.53764
2014/8/29,122.24179
2014/8/30,124.03984
2014/8/31,126.53589
2014/9/1,128.73117
2014/9/2,128.03279
2014/9/3,137.30177
2014/9/4,140.18793
2014/9/5,148.5366
2014/9/6,147.6429
2014/9/7,158.55286
2014/9/8,158.15663
2014/9/9,165.28293
2014/9/10,161.42438
2014/9/11,169.33548
2014/9/12,154.29146
2014/9/13,152.7047
2014/9/14,147.84152
2014/9/15,142.77382
2014/9/16,134.11475
2014/9/17,134.11475
2014/9/18,129.82838
2014/9/19,122.24179
2014/9/20,120.94272
2014/9/21,120.24306
2014/9/22,125.437805
2014/9/23,135.31017
2014/9/24,140.38689
2014/9/25,144.86125
2014/9/26,167.45795
2014/9/27,171.31091
2014/9/28,178.61179
2014/9/29,182.25739
2014/9/30,174.17361
2014/10/1,162.41408
2014/10/2,156.07584
2014/10/3,148.83446
2014/10/4,136.90353
2014/10/5,127.63367
2014/10/6,129.72865
2014/10/7,131.22443
2014/10/8,124.63902
2014/10/9,126.935104
2014/10/10,119.843185
2014/10/11,122.341705
2014/10/12,111.6377
2014/10/13,110.43556
2014/10/14,112.739365
2014/10/15,132.02196
2014/10/16,125.63748
2014/10/17,137.69998
2014/10/18,146.64967
2014/10/19,165.08513
2014/10/20,173.3841
2014/10/21,201.80951
2014/10/22,194.84431
2014/10/23,207.39273
2014/10/24,215.02052
2014/10/25,232.17949
2014/10/26,229.06506
2014/10/27,202.00557
2014/10/28,185.2109
2014/10/29,168.1498
2014/10/30,148.5366
2014/10/31,134.81212
2014/11/1,119.743225
2014/11/2,118.24338
2014/11/3,122.54152
2014/11/4,123.54047
2014/11/5,128.13257
2014/11/6,137.20222
2014/11/7,136.00734
2014/11/8,151.41502
2014/11/9,133.21797
2014/11/10,132.91899
2014/11/11,133.81584
2014/11/12,140.18793
2014/11/13,147.6429
2014/11/14,151.11736
2014/11/15,157.66129
2014/11/16,157.46315
2014/11/17,174.07494
2014/11/18,163.79929
2014/11/19,165.67848
2014/11/20,166.37057
2014/11/21,165.28293
2014/11/22,159.24617
2014/11/23,162.8099
2014/11/24,167.75447
2014/11/25,157.26498
2014/11/26,164.09605
2014/11/27,166.17284
2014/11/28,173.3841
2014/11/29,176.83707
2014/11/30,172.98929
2014/12/1,173.28539
2014/12/2,162.612
2014/12/3,165.87624
2014/12/4,150.81964
2014/12/5,146.84834
2014/12/6,133.21797
2014/12/7,125.437805
2014/12/8,128.53163
2014/12/9,130.2273
2014/12/10,136.80396
2014/12/11,144.96063
2014/12/12,143.17151
2014/12/13,149.92642
2014/12/14,155.58025
2014/12/15,159.3452
2014/12/16,165.38182
2014/12/17,177.52733
2014/12/18,189.53891
2014/12/19,223.12158
2014/12/20,206.80537
2014/12/21,195.53157
2014/12/22,194.25517
2014/12/23,174.66696
2014/12/24,161.12741
2014/12/25,146.74901
2014/12/26,139.29243
2014/12/27,135.31017
2014/12/28,129.22993
2014/12/29,129.03044
2014/12/30,127.933014
2014/12/31,126.935104
2015/1/1,130.02785
2015/1/2,133.1183
2015/1/3,141.48108
2015/1/4,145.55685
2015/1/5,146.2523
2015/1/6,144.06616
2015/1/7,140.28741
2015/1/8,142.57497
2015/1/9,151.81189
2015/1/10,147.34496
2015/1/11,146.74901
2015/1/12,149.33086
2015/1/13,153.20062
2015/1/14,145.45749
2015/1/15,136.80396
2015/1/16,128.13257
2015/1/17,122.04196
2015/1/18,118.54338
2015/1/19,122.64142
2015/1/20,125.437805
2015/1/21,122.341705
2015/1/22,120.54292
2015/1/23,116.94307
2015/1/24,118.54338
2015/1/25,122.04196
2015/1/26,123.140915
2015/1/27,142.97267
2015/1/28,151.9111
2015/1/29,154.3906
2015/1/30,164.59064
2015/1/31,155.77849
2015/2/1,149.82718
2015/2/2,140.98376
2015/2/3,140.18793
2015/2/4,144.86125
2015/2/5,147.14632
2015/2/6,138.19768
2015/2/7,139.98894
2015/2/8,147.6429
2015/2/9,149.23157
2015/2/10,141.58054
2015/2/11,137.69998
2015/2/12,128.53163
2015/2/13,124.93858
2015/2/14,122.04196
2015/2/15,117.84332
2015/2/16,117.14314
2015/2/17,116.24274
2015/2/18,116.24274
2015/2/19,118.94336
2015/2/20,117.14314
2015/2/21,117.3432
2015/2/22,112.53908
2015/2/23,115.942566
2015/2/24,115.0419
2015/2/25,112.63922
2015/2/26,109.533745
2015/2/27,110.33537
2015/2/28,117.14314
2015/3/1,123.240814
2015/3/2,126.6357
2015/3/3,127.73346
2015/3/4,123.54047
2015/3/5,121.7422
2015/3/6,130.82559
2015/3/7,127.03491
2015/3/8,147.24564
2015/3/9,122.84123
2015/3/10,122.64142
2015/3/11,120.64288
2015/3/12,134.7125
2015/3/13,126.436066
2015/3/14,120.84277
2015/3/15,115.44223
2015/3/16,116.54289
2015/3/17,116.74298
2015/3/18,114.241165
2015/3/19,115.242065
2015/3/20,108.63172
2015/3/21,111.83803
2015/3/22,113.6405
2015/3/23,120.94272
2015/3/24,128.23233
2015/3/25,133.01865
2015/3/26,139.49146
2015/3/27,135.60898
2015/3/28,136.50525
2015/3/29,144.96063
2015/3/30,142.6744
2015/3/31,134.41364
2015/4/1,128.13257
2015/4/2,123.93997
2015/4/3,122.54152
2015/4/4,120.64288
2015/4/5,124.93858
2015/4/6,122.94113
2015/4/7,121.04266
2015/4/8,112.739365
2015/4/9,107.72952
2015/4/10,111.6377
2015/4/11,115.5423
2015/4/12,124.93858
2015/4/13,134.81212
2015/4/14,141.87888
2015/4/15,149.33086
2015/4/16,153.89482
2015/4/17,151.61346
2015/4/18,152.01031
2015/4/19,151.21657
2015/4/20,153.10144
2015/4/21,151.11736
2015/4/22,155.97672
2015/4/23,150.81964
2015/4/24,143.0721
2015/4/25,135.70857
2015/4/26,128.13257
2015/4/27,121.04266
2015/4/28,109.73417
2015/4/29,109.63396
2015/4/30,106.62656
2015/5/1,104.118774
2015/5/2,102.31224
2015/5/3,108.33101
2015/5/4,113.44027
2015/5/5,123.54047
2015/5/6,132.42067
2015/5/7,140.38689
2015/5/8,148.6359
2015/5/9,152.20872
2015/5/10,157.06682
2015/5/11,163.70036
2015/5/12,166.17284
2015/5/13,164.78844
2015/5/14,161.91925
2015/5/15,149.62866
2015/5/16,141.18268
2015/5/17,134.21439
2015/5/18,123.140915
2015/5/19,118.94336
2015/5/20,113.44027
